TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-06,2026-08-06,FO,NSE,IDO,69663,,BANKNIFTY,,2026-09-29,2026-09-29,51800.00,PE,BANKNIFTY26SEP51800PE,0.00,0.00,0.00,364.20,0.00,364.20,58063.65,112.82,0,0,0,0.00,0,F1,30,,,,,
2026-08-06,2026-08-06,FO,NSE,IDO,76418,,BANKNIFTY,,2027-03-30,2027-03-30,60000.00,PE,BANKNIFTY27MAR60000PE,0.00,0.00,0.00,7507.95,0.00,7507.95,58063.65,3557.34,0,0,0,0.00,0,F1,30,,,,,
2026-08-06,2026-08-06,FO,NSE,IDO,76401,,BANKNIFTY,,2027-03-30,2027-03-30,58500.00,PE,BANKNIFTY27MAR58500PE,0.00,0.00,0.00,6512.10,0.00,6512.10,58063.65,2868.45,0,0,0,0.00,0,F1,30,,,,,
2026-08-06,2026-08-06,FO,NSE,IDO,76399,,BANKNIFTY,,2027-03-30,2027-03-30,57000.00,PE,BANKNIFTY27MAR57000PE,700.00,700.00,700.00,700.00,700.00,1140.05,58063.65,700.00,630,30,1,1731000.00,1,F1,30,,,,,
2026-08-06,2026-08-06,FO,NSE,IDO,53229,,BANKNIFTY,,2026-12-29,2026-12-29,57000.00,PE,BANKNIFTY26DEC57000PE,980.70,1007.15,887.00,893.10,890.00,1007.75,58063.65,893.10,22740,6300,412,715988770.50,240,F1,30,,,,,
2026-08-06,2026-08-06,FO,NSE,IDO,49654,,BANKNIFTY,,2026-10-27,2026-10-27,63300.00,PE,BANKNIFTY26OCT63300PE,0.00,0.00,0.00,6218.60,0.00,6218.60,58063.65,5109.90,0,0,0,0.00,0,F1,30,,,,,
2026-08-06,2026-08-06,FO,NSE,IDO,49616,,BANKNIFTY,,2026-10-27,2026-10-27,61800.00,PE,BANKNIFTY26OCT61800PE,0.00,0.00,0.00,5040.70,0.00,5040.70,58063.65,4009.94,0,0,0,0.00,0,F1,30,,,,,
2026-08-06,2026-08-06,FO,NSE,IDO,49600,,BANKNIFTY,,2026-10-27,2026-10-27,61200.00,PE,BANKNIFTY26OCT61200PE,0.00,0.00,0.00,4594.15,0.00,4594.15,58063.65,3604.64,0,0,0,0.00,0,F1,30,,,,,
2026-08-06,2026-08-06,FO,NSE,IDO,49594,,BANKNIFTY,,2026-10-27,2026-10-27,60900.00,PE,BANKNIFTY26OCT60900PE,0.00,0.00,0.00,4379.15,0.00,4379.15,58063.65,3409.96,0,0,0,0.00,0,F1,30,,,,,
2026-08-06,2026-08-06,FO,NSE,IDO,58766,,BANKNIFTY,,2026-08-25,2026-08-25,48000.00,CE,BANKNIFTY26AUG48000CE,9985.00,9985.00,9925.05,9925.05,9925.05,9740.00,58063.65,10214.84,4350,0,2,3477301.50,2,F1,30,,,,,
